Class,HMDB,KEGG,Metabolite,QC1,QC2,WT1,WT2,WT3,WT4,WT5,WT6,Vps_cKO1,Vps_cKO2,Vps_cKO3,Vps_cKO4,Vps_cKO5,Vps_cKO6
Fatty Acids,HMDB0000634,C02226,Citraconic acid,0.1698,0.228,0.2568,0.2124,0.2798,0.279,0.3237,0.2833,0.134,0.2318,0.2708,0.3368,0.3237,0.143
Fatty Acids,HMDB0000448,C06104,Adipic acid,1.1858,1.7462,3.3996,0.7979,0.9298,7.1452,2.5323,0.2134,2.877,9.2877,1.4046,0.7813,0.0772,2.4814
Fatty Acids,HMDB0000752,NA,Methylglutaric acid,0.1725,0.1807,0.2959,0.3256,0.4239,0.2774,0.2081,0.2866,0.5869,0.4735,0.3389,0.1057,0.373,0.3329
Benzoic Acids,HMDB0002107,C01606,Phthalic acid,0.7133,0.7247,0.7151,1.114,1.2638,0.4732,0.6354,0.6486,0.9534,2.4517,0.7332,1.0657,1.2282,0.6918
Bile Acids,NA,NA,TwMCA,0.4782,0.4743,0.3944,0.4648,0.424,0.4829,0.4998,0.4567,0.5157,0.4514,0.687,0.4348,0.4933,0.4646
Bile Acids,HMDB0258742|HMDB0000932,NA,TaMCA and TbMCA,0.9723,0.9635,0.6676,1.2472,0.7928,1.0059,1.5439,1.0482,1.3441,0.9478,2.5512,1.0324,1.519,0.8456
Fatty Acids,HMDB0000857,C02656,Pimelic acid,0.9018,0.626,1.5938,0.5844,0.8592,1.3156,1.2801,0.7743,1.4602,3.044,1.3344,0.74,0.9378,1.5379
Fatty Acids,HMDB0000555,NA,3-Methyladipic acid,0.3475,0.3352,0.4599,0.8692,0.5527,0.5681,0.6135,0.3446,0.6648,0.6637,0.6257,0.3101,0.4184,0.4476
SCFAs,HMDB0000689,NA,Isocaproic acid,0.7993,0.5995,0.6461,0.7355,0.7183,1.0361,0.74,0.6607,0.4269,0.5343,0.446,0.6735,0.711,0.4291
SCFAs,HMDB0000535,C01585,Caproic acid,4.8095,4.7375,8.9183,8.6623,7.6324,6.2697,5.9954,6.0703,5.7087,7.0236,5.8871,8.1698,6.9122,2.5657
Fatty Acids,HMDB0000893,C08278,Suberic acid,2.0546,1.8653,3.1202,1.172,0.6636,3.831,1.8566,1.9467,2.1222,3.6588,2.2298,1.4748,1.4498,0.9434
Bile Acids,HMDB0000036,C05122,TCA,1.2157,1.3693,0.7673,1.3601,0.9488,1.5901,1.8919,0.9632,1.218,0.9509,2.5234,1.1648,1.6337,1.0106
Organic Acids,HMDB0000094,C00158,Citric acid,447.1018,454.8023,464.2882,340.0537,400.9432,375.3378,393.7423,439.2415,382.5978,429.3386,552.6158,489.7941,428.7317,815.6311
Organic Acids,HMDB0000193,C00311,Isocitric acid,12.4786,16.9964,11.3019,16.5782,15.9815,16.023,12.4499,13.4261,15.5531,15.9635,13.8716,13.688,13.7327,19.5449
Fatty Acids,HMDB0031594,NA,2-Methylhexanoic acid,0.1296,0.1185,0.2395,0.1797,0.1996,0.2052,0.1607,0.1728,0.1847,0.2321,0.1659,0.2074,0.2115,0.2112
Fatty Acids,HMDB0340508,NA,4-Methylhexanoic acid,1.1183,1.1572,0.9142,1.159,0.9409,0.9346,1.1539,1.0274,1.3602,1.1625,1.013,1.0076,1.0399,1.1678
Fatty Acids,HMDB0000666,C17714,Heptanoic acid,1.7923,2.1568,2.5356,3.9139,3.5922,2.3697,2.0543,2.8927,2.5094,3.8529,3.2547,2.0142,3.2459,3.0537
Organic Acids,HMDB0000243,C00022,Pyruvic acid,51.3666,49.4511,82.491,26.7566,23.0367,24.1205,58.3054,83.7656,39.7499,40.1897,43.3938,39.493,48.7901,43.2031
Bile Acids,HMDB0000951,C05465,TCDCA,0.0458,0.046,0.0391,0.0478,0.0409,0.1124,0.1088,0.0441,0.0618,0.0497,0.0704,0.1122,0.0506,0.0816
Organic Acids,HMDB0000208,C00026,Oxoglutaric acid,14.5225,12.0588,9.5016,12.4517,14.1095,11.4005,12.2061,14.0622,10.9619,11.5744,11.973,11.4646,14.1011,15.9977
Fatty Acids,HMDB0000482,C06423,Octanoic acid,18.2801,22.503,24.5929,21.2462,21.3074,20.7789,23.4155,23.5434,28.4055,22.4342,28.2063,23.1662,22.9005,16.4525
Bile Acids,HMDB0000664,NA,bHDCA,0.0945,0.1185,0.1392,0.094,0.0907,0.1026,0.0603,0.078,0.1468,0.0997,0.166,0.0875,0.11,0.1043
Bile Acids,HMDB0000946,C07880,UDCA,0.0643,0.0761,0.086,0.0074,0.0184,0.0863,0.1246,0.0655,0.0553,0.0613,0.0856,0.0801,0.0091,0.0481
Bile Acids,HMDB0000733,NA,HDCA,0.1498,0.1505,0.1604,0.2117,0.1862,0.1835,0.3178,0.2011,0.4408,0.1997,0.1488,0.1393,0.137,0.154
Organic Acids,HMDB0000225,C00322,Oxoadipic acid,0.1951,0.1831,0.1898,0.2191,0.1697,0.2114,0.2143,0.1981,0.2119,0.2242,0.2417,0.1741,0.1633,0.2359
Bile Acids,HMDB0000138,C01921,GCA,0.0403,0.0521,0.053,0.0708,0.0813,0.0445,0.0439,0.0312,0.1106,0.0555,0.0274,0.0724,0.0455,0.0229
Fatty Acids,HMDB0000847,C01601,Nonanoic acid,14.0267,16.5639,17.9128,11.3086,8.7119,9.768,16.0006,15.0773,18.7917,12.296,17.7169,15.9842,15.9798,6.8564
Fatty Acids,HMDB0000511,C01571,Decanoic acid,14.124,14.2638,16.4772,11.3307,13.1201,13.5748,16.8227,15.1209,20.2087,12.8292,19.3308,18.5006,17.1674,8.8516
Fatty Acids,HMDB0033724,C13910,Undecylenic acid,0.5023,0.4593,0.6339,0.4419,0.4527,0.6069,0.5636,0.4789,0.6815,0.593,0.5033,0.4793,0.6377,0.6444
Bile Acids,HMDB0000717,C17658,isoLCA,0.0182,0.0207,0.0029,0.0447,0.0186,0.0026,0.0167,0.021,0.0085,0.0121,0.0186,0.023,0.0398,0.0015
Bile Acids,HMDB0000518,C02528,CDCA,0.102,0.1206,0.0858,0.1704,0.0957,0.0226,0.0982,0.1066,0.1933,0.0634,0.0759,0.0689,0.00226,0.0457
Fatty Acids,HMDB0000947,C17715,Undecanoic acid,0.6182,0.6284,0.8105,0.53,0.4003,0.8989,0.7258,0.6947,0.5748,1.0094,0.5805,0.2857,0.6245,0.9488
Fatty Acids,HMDB0000529,NA,5Z-Dodecenoic acid,2.9483,3.0381,2.7071,2.1943,3.2489,2.6921,2.2224,2.9625,3.922,2.4798,4.013,4.279,3.2824,2.6875
Fatty Acids,HMDB0000638,C02679,Dodecanoic acid,234.8812,231.4258,306.9148,177.6576,151.0704,173.4124,281.9465,254.3247,319.3232,179.3322,306.5402,263.2162,238.5875,110.7835
Fatty Acids,NA,NA,12-Tridecenoic acid,0.0643,0.0523,0.0359,0.0264,0.0425,0.0607,0.1049,0.0788,0.0954,0.0799,0.0699,0.0754,0.0449,0.0473
Fatty Acids,HMDB0000910,C17076,Tridecanoic acid,0.8322,0.9176,1.1349,0.6877,0.6631,0.7843,0.8865,0.809,0.9031,0.8734,1.0662,0.8048,0.7708,0.7657
Fatty Acids,HMDB0002000,C08322,Myristoleic acid,23.2336,23.5835,24.2856,22.5655,21.3585,20.8309,27.0235,17.441,23.0167,13.791,22.1619,33.2148,22.165,14.0226
Fatty Acids,HMDB0062248,NA,9E-tetradecenoic acid,4.5099,4.7795,4.3652,3.608,4.2047,3.8767,3.0153,4.1302,4.588,2.6098,4.4408,6.8193,4.4121,3.5257
Fatty Acids,HMDB0034297,C08365,Ricinoleic acid,0.6376,0.6287,1.4698,0.666,0.456,0.3476,0.9802,0.4443,0.6153,0.3919,0.5387,0.7471,0.6515,0.4681
Fatty Acids,NA,NA,Ricinelaidic acid,0.2954,0.2958,0.8984,0.3176,0.1913,0.0775,0.1673,0.0185,0.2808,0.0924,0.2067,0.3967,0.3334,0.1688
Fatty Acids,HMDB0061706,NA,12-Hydroxystearic acid,0.2139,0.3033,0.4459,0.5779,0.5126,0.3537,0.3992,0.1845,0.4019,0.4194,0.4715,0.2169,0.2464,0.892
Bile Acids,HMDB0000761,C03990,LCA,0.0454,0.0426,0.0325,0.045,0.0576,0.0285,0.0481,0.0409,0.065,0.0549,0.0624,0.0692,0.0404,0.1076
Bile Acids,HMDB0000626,C04483,DCA,0.2167,0.2747,0.2114,0.2741,0.18,0.0635,0.5831,0.1614,0.5939,0.2402,0.1103,0.2183,0.1379,0.3969
Fatty Acids,HMDB0000806,C06424,Myristic acid,78.1246,77.2219,105.2242,64.7773,52.3833,59.4835,103.0118,77.8391,82.3799,57.4084,83.4963,89.253,78.9535,48.3966
Fatty Acids,HMDB0029765,NA,9-Pentadecenoic acid,0.8727,0.6732,0.451,0.3509,0.4297,0.3702,0.8402,0.5075,0.262,0.1552,0.5654,0.8616,0.2798,0.3772
Fatty Acids,HMDB0000826,C16537,Pentadecanoic acid,19.0885,20.9441,18.5782,20.1983,14.7119,16.2905,18.0456,15.8998,19.6324,16.6881,15.9472,19.1741,15.6971,21.5975
Fatty Acids,HMDB0003229,C08362,Palmitoleic acid,735.7768,819.1939,1004.5644,865.6672,450.0342,355.7033,1031.321,497.2638,343.0479,238.9411,434.0819,925.2752,557.2469,475.8305
Fatty Acids,HMDB0012328,NA,Palmitelaidic acid,33.5533,38.3459,33.4051,32.4183,17.5325,17.9942,29.7344,21.5724,19.9846,13.7766,22.1036,38.0621,23.6258,30.7679
Fatty Acids,HMDB0060038,NA,10Z-Heptadecenoic acid,38.4841,38.457,30.4903,32.2922,20.3921,20.3426,24.8811,22.2902,23.789,17.1758,26.3886,31.4267,15.7682,28.9878
Fatty Acids,HMDB0244268,NA,trans-10-Heptadecenoic acid,7.2677,7.0363,6.3041,8.0536,5.1088,6.98,5.6901,5.3328,4.7841,4.1147,5.9298,7.6228,4.5437,6.9337
Fatty Acids,HMDB0001388,C06427,alpha-Linolenic acid,76.3831,76.8033,84.2568,93.8288,58.6481,70.6354,94.3268,78.1377,87.8522,58.3377,89.6913,88.7098,63.0802,106.928
Fatty Acids,HMDB0003073,C06426,gamma-Linolenic acid,17.7762,18.8031,16.4646,18.7068,17.2767,19.2879,20.764,20.6074,19.6843,15.6581,26.0661,18.8841,15.3695,27.1255
Fatty Acids,HMDB0000673,C01595,Linoleic acid,3624.8974,3601.7834,3345.5376,4773.5774,3777.4917,4131.9649,4119.2956,4116.8556,4924.1372,4247.1442,5138.2368,4033.9567,3736.6075,5481.9052
Fatty Acids,HMDB0006270,NA,Linoelaidic acid,55.8202,58.2359,40.9856,52.0491,39.9676,47.9349,54.5849,57.7651,58.855,49.1785,65.0769,44.1355,43.4609,66.5141
Fatty Acids,HMDB0001999,C06428,EPA,37.4123,37.622,29.1314,41.8403,32.1747,39.4329,38.3021,38.1089,39.7874,28.4064,42.4522,31.7557,32.45,46.9113
Fatty Acids,HMDB0001043,C00219,Arachidonic acid,972.9971,1033.2481,859.9182,1014.7487,1147.1536,1043.1138,916.7139,946.021,944.5049,780.9503,867.6444,748.759,942.8214,1099.2897
Fatty Acids,HMDB0002925,C03242,Dihomo-gamma-linolenic acid,64.9461,63.5126,39.1972,58.0467,56.5256,65.6633,60.3487,57.3818,70.9824,57.2176,66.0977,50.1799,60.8822,54.8807
Fatty Acids,HMDB0002183,C06429,DHA,718.2201,720.7735,619.9706,856.7363,739.5304,755.7349,644.1221,712.8767,730.0924,593.524,758.7492,601.0588,638.3794,855.8967
Fatty Acids,HMDB0006528,C16513,DPA,218.9899,206.7258,169.4072,275.1113,241.633,256.5417,225.2643,262.2541,269.6942,207.7548,270.8825,218.3091,226.0495,259.4526
Fatty Acids,HMDB0001976,NA,DPAn-6,39.0468,39.5809,24.9187,37.3859,32.1823,35.8739,33.2501,36.001,33.3046,28.9023,33.2424,24.807,29.577,30.2016
Fatty Acids,HMDB0002226,C16527,Adrenic acid,35.7416,36.3679,20.0424,44.2015,29.952,32.7816,33.4378,39.5097,38.4276,27.4411,35.3706,27.9777,24.2533,27.171
Fatty Acids,HMDB0000426,C00815,Citramalic acid,0.6257,0.5888,0.4564,0.5296,0.5244,0.634,0.513,0.6487,0.5599,0.4534,0.6949,0.7159,0.5343,0.789
Fatty Acids,HMDB0000207,C00712,Oleic acid,4204.3972,4232.1788,4231.7444,5533.6553,3975.0556,3636.1379,4339.803,4378.5833,4127.1263,3048.0751,4371.631,4829.3535,3846.595,5327.4954
Fatty Acids,HMDB0013622,NA,10Z-Nonadecenoic acid,8.3561,6.8538,7.1008,10.1914,9.1223,10.8396,9.0287,10.0104,11.8262,10.2437,10.3186,8.5993,9.0198,10.3004
Phenols,HMDB0000440,NA,3-Hydroxyphenylacetic acid,0.1251,0.1225,0.1087,0.1406,0.2374,0.0864,0.2042,0.0816,0.1549,0.0877,0.0861,0.1076,0.0975,0.117
Carnitines,HMDB0000062,C00318,Carnitine,1376.8292,1312.1108,1371.2455,1333.1103,1501.6707,1264.1781,1373.9483,1365.7782,1371.0412,1301.4268,1369.6728,1231.48,1284.3958,1373.0081
Carnitines,HMDB0000201,C02571,Acetylcarnitine,342.5427,316.8515,271.1448,365.7299,327.9414,353.8413,301.8777,309.6672,373.4166,348.8107,327.4632,298.1139,308.2696,373.4345
Carnitines,HMDB0000824,C03017,Propionylcarnitine,9.108,9.6399,4.9032,11.1729,10.1537,9.1448,8.9887,6.2002,9.8566,9.2236,11.0799,8.8086,7.1551,11.0747
Carnitines,HMDB0002013,C02862,Butyrylcarnitine,1.7954,1.8007,1.5334,1.99,2.3229,2.877,1.1713,1.5081,1.7403,1.4449,1.5349,1.5192,2.2594,1.4886
Carnitines,HMDB0000736,NA,Isobutyrylcarnitine,0.5084,0.5345,0.4964,0.7193,0.4831,0.4649,0.4376,0.4979,0.3302,0.3703,0.5026,0.6849,0.6167,0.8676
Carnitines,HMDB0013128,NA,Valerylcarnitine,0.0432,0.0405,0.0361,0.062,0.0415,0.0344,0.0318,0.0343,0.0443,0.045,0.0488,0.034,0.0303,0.0367
Carnitines,HMDB0000378,NA,2-Methylbutyroylcarnitine,0.4096,0.4105,0.3804,0.4653,0.3515,0.349,0.323,0.4264,0.27,0.3374,0.4055,0.4589,0.5016,0.518
Carnitines,HMDB0000688,NA,Isovalerylcarnitine,0.1476,0.141,0.3528,0.4408,0.0991,0.1095,0.1079,0.1714,0.0976,0.353,0.1167,0.1359,0.1822,0.1836
Carnitines,HMDB0061189,NA,3-Hydroxylisovalerylcarnitine,7.6033,7.72,6.5735,6.9905,6.5106,6.7574,6.3762,6.5898,7.1593,8.1827,8.3697,7.9626,8.5188,8.5714
Carnitines,HMDB0013130,NA,Glutarylcarnitine,0.0364,0.0264,0.0608,0.0558,0.054,0.0406,0.0376,0.0436,0.0363,0.0704,0.0473,0.0476,0.0331,0.0316
Carnitines,HMDB0000705,NA,Hexanylcarnitine,0.0563,0.0665,0.0821,0.0649,0.0776,0.0748,0.0452,0.0671,0.0529,0.0556,0.0643,0.0551,0.0415,0.0467
Carnitines,HMDB0061677,NA,O-Adipoylcarnitine,0.0389,0.0492,0.0319,0.0406,0.0535,0.0335,0.0534,0.0411,0.0477,0.0373,0.0463,0.034,0.0302,0.0467
Carnitines,HMDB0000791,C02838,Octanoylcarnitine,0.0694,0.0724,0.0628,0.0779,0.0925,0.0771,0.0531,0.0756,0.0779,0.0544,0.0867,0.058,0.0569,0.0494
Carnitines,HMDB0000651,NA,Decanoylcarnitine,0.0708,0.0755,0.0749,0.0743,0.1153,0.0771,0.0559,0.0868,0.0763,0.0677,0.0811,0.07,0.0588,0.0661
Carnitines,HMDB0002250,NA,Dodecanoylcarnitine,0.134,0.1474,0.2106,0.1586,0.1994,0.15,0.1102,0.1838,0.1114,0.0993,0.1032,0.1779,0.1154,0.1498
Carnitines,HMDB0005066,NA,Tetradecanoylcarnitine,0.4967,0.5451,0.9186,0.484,0.6248,0.5497,0.3761,0.6993,0.4115,0.3605,0.3664,0.6463,0.4366,0.5832
Carnitines,HMDB0000222,C02990,Palmitoylcarnitine,2.0426,2.0338,4.0218,1.8737,1.8381,1.9194,1.8844,3.2611,1.4259,1.342,1.4607,2.0309,1.4026,2.0907
Carnitines,HMDB0005065,NA,Oleoylcarnitine,4.2502,4.2338,4.5797,4.985,4.7319,4.9937,3.4283,6.5511,3.3,3.1707,3.3015,4.2248,3.1249,5.5419
Carnitines,HMDB0006469,NA,Linoleylcarnitine,0.8823,0.885,0.971,0.8782,0.9587,0.8635,0.6547,1.0763,0.7916,0.822,1.039,1.0758,0.7839,1.297
Carnitines,HMDB0000848,NA,Stearoylcarnitine,0.4788,0.4425,0.7325,0.4794,0.5521,0.489,0.4968,0.8367,0.5522,0.5472,0.502,0.4581,0.4526,0.5488
Carnitines,HMDB0013133,NA,Methylmalonylcarnitine,162.2259,156.9792,127.2452,170.5749,177.5227,171.8779,132.3578,154.7646,146.9524,135.7101,172.1895,141.6304,144.0267,173.6212
Nucleotides,HMDB0000939,C00021,SAH,32.2158,35.8358,36.7359,29.8665,29.0663,33.0196,41.1063,38.2136,32.3817,24.7338,36.4476,31.9058,29.4786,34.1355
Bile Acids,HMDB0000467,NA,7-KetoLCA,0.1024,0.122,0.0936,0.1976,0.1114,0.1291,0.1385,0.0841,0.1106,0.0805,0.1697,0.1952,0.1258,0.159
Bile Acids,HMDB0000415,C17726,bMCA,2.7156,2.6451,1.7389,3.8607,5.151,1.9862,9.0705,3.3909,8.1093,7.507,3.355,1.6587,2.3659,4.2822
Bile Acids,NA,NA,12-DHCA,0.1305,0.1306,0.124,0.1544,0.1315,0.1394,0.2939,0.1308,0.2011,0.1698,0.1417,0.1327,0.0124,0.1627
Bile Acids,HMDB0000328,NA,12-KetoLCA,0.0848,0.1196,0.007,0.0805,0.085,0.0322,0.1678,0.0622,0.1134,0.1052,0.0512,0.0392,0.0212,0.0033
Indoles,HMDB0029737,C08493,Indole-3-carboxaldehyde,0.2183,0.1831,0.0686,0.1026,0.3149,0.0935,0.242,0.179,0.2198,0.1248,0.3075,0.2149,0.1997,0.1967
Amino Acids,HMDB0032055,C02997,N-Acetylhistidine,1.9202,1.9407,1.4381,2.4207,2.2702,2.428,1.6541,1.7709,2.5294,1.9482,2.251,2.0635,1.8272,2.1911
Fatty Acids,HMDB0002074,NA,"2,2-Dimethylsuccinic acid",0.3639,0.3741,0.4274,0.7569,0.5251,0.4648,0.4141,0.3904,0.5419,0.6952,0.5682,0.4056,0.5295,0.5081
Indoles,HMDB0000671,C02043,Indolelactic acid,0.694,0.6009,0.3643,0.9009,0.5971,0.868,0.8335,0.9037,1.0893,1.1201,0.9924,0.8119,0.6349,1.2068
Amino Acids,HMDB0000001,C01152,1-Methylhistidine,7.7105,7.4437,6.5322,7.4738,8.5671,8.0005,6.4396,8.053,9.1354,7.3054,8.6175,8.3228,7.8999,8.6336
Amino Acids,HMDB0000725,C01157,4-Hydroxyproline,82.2906,56.5198,46.6291,64.099,59.0921,65.782,51.5244,57.1832,70.5455,57.003,65.6264,57.5909,65.3833,67.0411
Peptides,HMDB0006248,C03740,gamma-Glutamylalanine,12.4901,11.8932,11.8829,9.9507,13.3295,15.1978,14.4029,13.0553,13.6745,11.4288,14.0786,14.0857,14.8434,12.0231
Imidazoles,HMDB0002271,C20522,Imidazolepropionic acid,1.5082,1.4727,1.2635,2.0916,1.9974,1.6828,1.3993,1.8094,2.3473,2.3959,2.0125,1.6746,1.5667,2.5032
Imidazoles,HMDB0002024,C02835,Imidazoleacetic acid,0.2194,0.2286,0.1951,0.2701,0.3038,0.285,0.1883,0.2259,0.2823,0.252,0.2639,0.207,0.2277,0.2649
Amino Acids,HMDB0000446,C12989,N-alpha-Acetyl-L-lysine,2.4096,2.4792,2.162,2.9218,3.1789,2.8651,2.7021,2.6324,3.3515,2.8718,2.7507,2.2736,2.493,2.8971
Carbohydrates,HMDB0000625,C00257,Gluconic acid,66.7727,73.9215,58.2766,81.8041,76.3029,71.8248,61.66,58.7359,116.8323,71.4182,74.2276,61.8475,87.1136,69.9075
Carbohydrates,HMDB0000169,C00159,Mannose,137.9789,140.6177,174.6772,145.6202,220.4937,103.2057,158.8736,82.9042,144.8424,231.5996,137.8083,137.678,173.8585,85.3943
Peptides,HMDB0013302,NA,Phenylalanylphenylalanine,0.0844,0.0805,0.1175,0.0981,0.0799,0.0724,0.1554,0.1017,0.2189,0.1333,0.1113,0.085,0.0923,0.0761
Bile Acids,HMDB0000361,C17660,bCDCA,0.383,0.5422,0.3936,0.5133,0.6198,0.4559,0.3122,0.4065,0.4037,0.379,0.4803,0.535,0.3974,0.6053
Peptides,HMDB0029006,NA,Phenylalanyltryptophan,0.0932,0.0807,0.0874,0.1077,0.0795,0.1019,0.104,0.1056,0.1352,0.1351,0.0927,0.1026,0.088,0.1051
Fatty Acids,HMDB0000622,NA,Ethylmalonic acid,0.4801,0.5513,0.5474,0.6994,0.7575,0.6773,0.5086,0.6465,0.7264,0.5315,0.5364,0.6039,0.5775,0.2943
Vitamins,HMDB0000226,C00295,Orotic acid,3.3774,4.4337,10.8679,1.6619,3.2946,2.1568,6.9106,9.7749,3.5654,4.1324,4.0123,3.8617,2.1941,2.284
Phenylpropanoic Acids,HMDB0002199,C01744,Desaminotyrosine,1.2545,0.9447,1.1834,1.3811,2.3199,0.8186,1.815,1.1511,1.3015,2.5786,1.3918,0.8469,0.763,2.5097
Amino Acids,HMDB0000821,C05598,Phenylacetylglycine,0.5161,0.4746,0.2183,0.4366,0.3087,0.1819,0.1786,0.3656,0.9065,1.1709,0.7004,0.9177,0.7356,0.9567
Pyridines,HMDB0000232,C03722,Quinolinic acid,0.3509,0.3346,0.2279,0.3709,0.3752,0.4004,0.4081,0.3557,0.2979,0.3953,0.2412,0.4991,0.303,0.3207
Organic Acids,HMDB0000023,C06001,3-Hydroxyisobutyric acid,13.7645,16.566,8.8319,20.5724,16.0222,18.8529,17.3424,12.911,7.9931,14.8903,15.3336,20.3317,16.8641,13.3504
